Time(s),NodeID,Role,RemainingEnergy(J)
10,77,SENSOR,9999.77
10,78,SENSOR,9999.77
10,79,SENSOR,9999.77
10,80,SENSOR,9999.77
10,81,SENSOR,9999.77
10,82,SENSOR,9999.77
10,83,SENSOR,9999.77
10,84,SENSOR,9999.77
10,85,SENSOR,9999.77
10,86,SENSOR,9999.77
10,87,SENSOR,9999.77
10,88,SENSOR,9999.77
10,89,SENSOR,9999.77
10,90,SENSOR,9999.77
10,91,SENSOR,9999.77
10,92,SENSOR,9999.77
10,93,SENSOR,9999.77
10,94,SENSOR,9999.77
10,95,SENSOR,9999.77
10,96,SENSOR,9999.77
10,97,SENSOR,9999.77
10,98,SENSOR,9999.77
10,99,SENSOR,9999.77
10,100,CH,9999.78
10,101,CH,9999.78
10,102,CH,9999.78
10,103,CH,9999.78
10,104,CH,9999.78
10,105,CH,9999.78
10,106,CH,9999.78
10,107,CH,9999.78
10,108,CH,9999.78
10,109,CH,9999.78
15,0,SENSOR,9999.71
15,1,SENSOR,9999.71
15,2,SENSOR,9999.71
15,3,SENSOR,9999.71
15,4,SENSOR,9999.71
15,5,SENSOR,9999.71
15,6,SENSOR,9999.71
15,7,SENSOR,9999.71
15,8,SENSOR,9999.71
15,9,SENSOR,9999.71
15,10,SENSOR,9999.71
15,11,SENSOR,9999.71
15,12,SENSOR,9999.71
15,13,SENSOR,9999.71
15,14,SENSOR,9999.71
15,15,SENSOR,9999.71
15,16,SENSOR,9999.71
15,17,SENSOR,9999.71
15,18,SENSOR,9999.71
15,19,SENSOR,9999.71
15,20,SENSOR,9999.71
15,21,SENSOR,9999.71
15,22,SENSOR,9999.71
15,23,SENSOR,9999.71
15,24,SENSOR,9999.71
15,25,SENSOR,9999.71
15,26,SENSOR,9999.71
15,27,SENSOR,9999.71
15,28,SENSOR,9999.71
15,29,SENSOR,9999.71
15,30,SENSOR,9999.71
15,31,SENSOR,9999.71
15,32,SENSOR,9999.71
15,33,SENSOR,9999.71
15,34,SENSOR,9999.71
15,35,SENSOR,9999.71
15,36,SENSOR,9999.71
15,37,SENSOR,9999.71
15,38,SENSOR,9999.71
15,39,SENSOR,9999.71
15,40,SENSOR,9999.71
15,41,SENSOR,9999.71
15,42,SENSOR,9999.71
15,43,SENSOR,9999.71
15,44,SENSOR,9999.71
15,45,SENSOR,9999.71
15,46,SENSOR,9999.71
15,47,SENSOR,9999.71
15,48,SENSOR,9999.71
15,49,SENSOR,9999.71
15,50,SENSOR,9999.71
15,51,SENSOR,9999.71
15,52,SENSOR,9999.71
15,53,SENSOR,9999.71
15,54,SENSOR,9999.71
15,55,SENSOR,9999.71
15,56,SENSOR,9999.71
15,57,SENSOR,9999.71
15,58,SENSOR,9999.71
15,59,SENSOR,9999.71
15,60,SENSOR,9999.71
15,61,SENSOR,9999.71
15,62,SENSOR,9999.71
15,63,SENSOR,9999.71
15,64,SENSOR,9999.71
15,65,SENSOR,9999.71
15,66,SENSOR,9999.71
15,67,SENSOR,9999.71
15,68,SENSOR,9999.71
15,69,SENSOR,9999.71
15,70,SENSOR,9999.71
15,71,SENSOR,9999.71
15,72,SENSOR,9999.71
15,73,SENSOR,9999.71
15,74,SENSOR,9999.71
15,75,SENSOR,9999.71
15,76,SENSOR,9999.71
15,77,SENSOR,9999.71
15,78,SENSOR,9999.71
15,79,SENSOR,9999.71
15,80,SENSOR,9999.71
15,81,SENSOR,9999.71
15,82,SENSOR,9999.71
15,83,SENSOR,9999.71
15,84,SENSOR,9999.71
15,85,SENSOR,9999.71
15,86,SENSOR,9999.71
15,87,SENSOR,9999.71
15,88,SENSOR,9999.71
15,89,SENSOR,9999.71
15,90,SENSOR,9999.71
15,91,SENSOR,9999.71
15,92,SENSOR,9999.71
15,93,SENSOR,9999.71
15,94,SENSOR,9999.71
15,95,SENSOR,9999.71
15,96,SENSOR,9999.71
15,97,SENSOR,9999.71
15,98,SENSOR,9999.71
15,99,SENSOR,9999.71
15,100,CH,9999.38
15,101,CH,9999.38
15,102,CH,9999.38
15,103,CH,9999.38
15,104,CH,9999.38
15,105,CH,9999.38
15,106,CH,9999.38
15,107,CH,9999.38
15,108,CH,9999.38
15,109,CH,9999.38
20,0,SENSOR,9999.65
20,1,SENSOR,9999.65
20,2,SENSOR,9999.65
20,3,SENSOR,9999.65
20,4,SENSOR,9999.65
20,5,SENSOR,9999.65
20,6,SENSOR,9999.65
20,7,SENSOR,9999.65
20,8,SENSOR,9999.65
20,9,SENSOR,9999.65
20,10,SENSOR,9999.65
20,11,SENSOR,9999.65
20,12,SENSOR,9999.65
20,13,SENSOR,9999.65
20,14,SENSOR,9999.65
20,15,SENSOR,9999.65
20,16,SENSOR,9999.65
20,17,SENSOR,9999.65
20,18,SENSOR,9999.65
20,19,SENSOR,9999.65
20,20,SENSOR,9999.65
20,21,SENSOR,9999.65
20,22,SENSOR,9999.65
20,23,SENSOR,9999.65
20,24,SENSOR,9999.65
20,25,SENSOR,9999.65
20,26,SENSOR,9999.65
20,27,SENSOR,9999.65
20,28,SENSOR,9999.65
20,29,SENSOR,9999.65
20,30,SENSOR,9999.65
20,31,SENSOR,9999.65
20,32,SENSOR,9999.65
20,33,SENSOR,9999.65
20,34,SENSOR,9999.65
20,35,SENSOR,9999.65
20,36,SENSOR,9999.65
20,37,SENSOR,9999.65
20,38,SENSOR,9999.65
20,39,SENSOR,9999.65
20,40,SENSOR,9999.65
20,41,SENSOR,9999.65
20,42,SENSOR,9999.65
20,43,SENSOR,9999.65
20,44,SENSOR,9999.65
20,45,SENSOR,9999.65
20,46,SENSOR,9999.65
20,47,SENSOR,9999.65
20,48,SENSOR,9999.65
20,49,SENSOR,9999.65
20,50,SENSOR,9999.65
20,51,SENSOR,9999.65
20,52,SENSOR,9999.65
20,53,SENSOR,9999.65
20,54,SENSOR,9999.65
20,55,SENSOR,9999.65
20,56,SENSOR,9999.65
20,57,SENSOR,9999.65
20,58,SENSOR,9999.65
20,59,SENSOR,9999.65
20,60,SENSOR,9999.65
20,61,SENSOR,9999.65
20,62,SENSOR,9999.65
20,63,SENSOR,9999.65
20,64,SENSOR,9999.65
20,65,SENSOR,9999.65
20,66,SENSOR,9999.65
20,67,SENSOR,9999.65
20,68,SENSOR,9999.65
20,69,SENSOR,9999.65
20,70,SENSOR,9999.65
20,71,SENSOR,9999.65
20,72,SENSOR,9999.65
20,73,SENSOR,9999.65
20,74,SENSOR,9999.65
20,75,SENSOR,9999.65
20,76,SENSOR,9999.65
20,77,SENSOR,9999.65
20,78,SENSOR,9999.65
20,79,SENSOR,9999.65
20,80,SENSOR,9999.65
20,81,SENSOR,9999.65
20,82,SENSOR,9999.65
20,83,SENSOR,9999.65
20,84,SENSOR,9999.65
20,85,SENSOR,9999.65
20,86,SENSOR,9999.65
20,87,SENSOR,9999.65
20,88,SENSOR,9999.65
20,89,SENSOR,9999.65
20,90,SENSOR,9999.65
20,91,SENSOR,9999.65
20,92,SENSOR,9999.65
20,93,SENSOR,9999.65
20,94,SENSOR,9999.65
20,95,SENSOR,9999.65
20,96,SENSOR,9999.65
20,97,SENSOR,9999.65
20,98,SENSOR,9999.65
20,99,SENSOR,9999.65
20,100,CH,9998.98
20,101,CH,9998.98
20,102,CH,9998.98
20,103,CH,9998.98
20,104,CH,9998.98
20,105,CH,9998.98
20,106,CH,9998.98
20,107,CH,9998.98
20,108,CH,9998.98
20,109,CH,9998.98
25,0,SENSOR,9999.59
25,1,SENSOR,9999.59
25,2,SENSOR,9999.59
25,3,SENSOR,9999.59
25,4,SENSOR,9999.59
25,5,SENSOR,9999.59
25,6,SENSOR,9999.59
25,7,SENSOR,9999.59
25,8,SENSOR,9999.59
25,9,SENSOR,9999.59
25,10,SENSOR,9999.59
25,11,SENSOR,9999.59
25,12,SENSOR,9999.59
25,13,SENSOR,9999.59
25,14,SENSOR,9999.59
25,15,SENSOR,9999.59
25,16,SENSOR,9999.59
25,17,SENSOR,9999.59
25,18,SENSOR,9999.59
25,19,SENSOR,9999.59
25,20,SENSOR,9999.59
25,21,SENSOR,9999.59
25,22,SENSOR,9999.59
25,23,SENSOR,9999.59
25,24,SENSOR,9999.59
25,25,SENSOR,9999.59
25,26,SENSOR,9999.59
25,27,SENSOR,9999.59
25,28,SENSOR,9999.59
25,29,SENSOR,9999.59
25,30,SENSOR,9999.59
25,31,SENSOR,9999.59
25,32,SENSOR,9999.59
25,33,SENSOR,9999.59
25,34,SENSOR,9999.59
25,35,SENSOR,9999.59
25,36,SENSOR,9999.59
25,37,SENSOR,9999.59
25,38,SENSOR,9999.59
25,39,SENSOR,9999.59
25,40,SENSOR,9999.59
25,41,SENSOR,9999.59
25,42,SENSOR,9999.59
25,43,SENSOR,9999.59
25,44,SENSOR,9999.59
25,45,SENSOR,9999.59
25,46,SENSOR,9999.59
25,47,SENSOR,9999.59
25,48,SENSOR,9999.59
25,49,SENSOR,9999.59
25,50,SENSOR,9999.59
25,51,SENSOR,9999.59
25,52,SENSOR,9999.59
25,53,SENSOR,9999.59
25,54,SENSOR,9999.59
25,55,SENSOR,9999.59
25,56,SENSOR,9999.59
25,57,SENSOR,9999.59
25,58,SENSOR,9999.59
25,59,SENSOR,9999.59
25,60,SENSOR,9999.59
25,61,SENSOR,9999.59
25,62,SENSOR,9999.59
25,63,SENSOR,9999.59
25,64,SENSOR,9999.59
25,65,SENSOR,9999.59
25,66,SENSOR,9999.59
25,67,SENSOR,9999.59
25,68,SENSOR,9999.59
25,69,SENSOR,9999.59
25,70,SENSOR,9999.59
25,71,SENSOR,9999.59
25,72,SENSOR,9999.59
25,73,SENSOR,9999.59
25,74,SENSOR,9999.59
25,75,SENSOR,9999.59
25,76,SENSOR,9999.59
25,77,SENSOR,9999.59
25,78,SENSOR,9999.59
25,79,SENSOR,9999.59
25,80,SENSOR,9999.59
25,81,SENSOR,9999.59
25,82,SENSOR,9999.59
25,83,SENSOR,9999.59
25,84,SENSOR,9999.59
25,85,SENSOR,9999.59
25,86,SENSOR,9999.59
25,87,SENSOR,9999.59
25,88,SENSOR,9999.59
25,89,SENSOR,9999.59
25,90,SENSOR,9999.59
25,91,SENSOR,9999.59
25,92,SENSOR,9999.59
25,93,SENSOR,9999.59
25,94,SENSOR,9999.59
25,95,SENSOR,9999.59
25,96,SENSOR,9999.59
25,97,SENSOR,9999.59
25,98,SENSOR,9999.59
25,99,SENSOR,9999.59
25,100,CH,9998.58
25,101,CH,9998.58
25,102,CH,9998.58
25,103,CH,9998.58
25,104,CH,9998.58
25,105,CH,9998.58
25,106,CH,9998.58
25,107,CH,9998.58
25,108,CH,9998.58
25,109,CH,9998.58
30,0,SENSOR,9999.53
30,1,SENSOR,9999.53
30,2,SENSOR,9999.53
30,3,SENSOR,9999.53
30,4,SENSOR,9999.53
30,5,SENSOR,9999.53
30,6,SENSOR,9999.53
30,7,SENSOR,9999.53
30,8,SENSOR,9999.53
30,9,SENSOR,9999.53
30,10,SENSOR,9999.53
30,11,SENSOR,9999.53
30,12,SENSOR,9999.53
30,13,SENSOR,9999.53
30,14,SENSOR,9999.53
30,15,SENSOR,9999.53
30,16,SENSOR,9999.53
30,17,SENSOR,9999.53
30,18,SENSOR,9999.53
30,19,SENSOR,9999.53
30,20,SENSOR,9999.53
30,21,SENSOR,9999.53
30,22,SENSOR,9999.53
30,23,SENSOR,9999.53
30,24,SENSOR,9999.53
30,25,SENSOR,9999.53
30,26,SENSOR,9999.53
30,27,SENSOR,9999.53
30,28,SENSOR,9999.53
30,29,SENSOR,9999.53
30,30,SENSOR,9999.53
30,31,SENSOR,9999.53
30,32,SENSOR,9999.53
30,33,SENSOR,9999.53
30,34,SENSOR,9999.53
30,35,SENSOR,9999.53
30,36,SENSOR,9999.53
30,37,SENSOR,9999.53
30,38,SENSOR,9999.53
30,39,SENSOR,9999.53
30,40,SENSOR,9999.53
30,41,SENSOR,9999.53
30,42,SENSOR,9999.53
30,43,SENSOR,9999.53
30,44,SENSOR,9999.53
30,45,SENSOR,9999.53
30,46,SENSOR,9999.53
30,47,SENSOR,9999.53
30,48,SENSOR,9999.53
30,49,SENSOR,9999.53
30,50,SENSOR,9999.53
30,51,SENSOR,9999.53
30,52,SENSOR,9999.53
30,53,SENSOR,9999.53
30,54,SENSOR,9999.53
30,55,SENSOR,9999.53
30,56,SENSOR,9999.53
30,57,SENSOR,9999.53
30,58,SENSOR,9999.53
30,59,SENSOR,9999.53
30,60,SENSOR,9999.53
30,61,SENSOR,9999.53
30,62,SENSOR,9999.53
30,63,SENSOR,9999.53
30,64,SENSOR,9999.53
30,65,SENSOR,9999.53
30,66,SENSOR,9999.53
30,67,SENSOR,9999.53
30,68,SENSOR,9999.53
30,69,SENSOR,9999.53
30,70,SENSOR,9999.53
30,71,SENSOR,9999.53
30,72,SENSOR,9999.53
30,73,SENSOR,9999.53
30,74,SENSOR,9999.53
30,75,SENSOR,9999.53
30,76,SENSOR,9999.53
30,77,SENSOR,9999.53
30,78,SENSOR,9999.53
30,79,SENSOR,9999.53
30,80,SENSOR,9999.53
30,81,SENSOR,9999.53
